id,Name,Address,Lat,Long,Number of Ratings,Restaurant Rating,Type of Restaurant,Number of Bookmarks,Price Range,Phone Number,Website,Instagram,Facebook,Timetable,url,Total Work Hours,Days Open,Average Daily Hours,Total Social Media,Has Social Media,Popularity
153,Pizzi & Dixie,"Calle San Vicente Ferrer 16,Madrid,Spain,28004",40.425836,-3.702809,195.0,4.5,"['Italian', 'European', 'Spanish']",379,2,+34-912659887,1,0,1,"{'Monday': '13:30 - 16:00, 20:30 - 23:30', 'Tuesday': '13:30 - 16:00, 20:30 - 23:30', 'Wednesday': '13:30 - 16:00, 20:30 - 23:30', 'Thursday': '13:30 - 16:00, 20:30 - 23:30', 'Friday': '13:30 - 16:00, 20:30 - 00:00', 'Saturday': '13:30 - 16:00, 20:30 - 00:00', 'Sunday': '13:30 - 16:00, 17:00 - 18:00'}",https://www.happycow.net/reviews/pizzi-dixie-madrid-92445,37.5,7.0,5.36,2,1,0.29418439716312056
154,Secrets Chueca,"C. de la Libertad, 26,Madrid,Spain,28004",40.4219,-3.697278,1.0,4.0,"['International', 'Western', 'Mediterranean']",0,2,No phone number,1,1,0,"{'Monday': '09:30 - 23:30', 'Tuesday': '09:30 - 23:30', 'Wednesday': '09:30 - 23:30', 'Thursday': '09:30 - 23:30', 'Friday': '09:30 - 23:30', 'Saturday': '10:00 - 00:30', 'Sunday': '09:30 - 00:00'}",https://www.happycow.net/reviews/secrets-chueca-madrid-393835,99.0,7.0,14.14,2,1,0.2228168805436735
155,La Rollerie - Atocha,"Calle de Atocha, 20,Madrid,Spain",40.413936,-3.703105,11.0,3.5,['European'],26,1,+34-914204675,1,0,0,"{'Monday': '08:00 - 22:30', 'Tuesday': '08:00 - 22:30', 'Wednesday': '08:00 - 22:30', 'Thursday': '08:00 - 22:30', 'Friday': '08:00 - 22:30', 'Saturday': '08:00 - 22:30', 'Sunday': '08:00 - 22:30'}",https://www.happycow.net/reviews/la-rollerie-madrid-70365,101.5,7.0,14.5,1,1,0.2967953632205619
156,Coco Bar - Tirso de Molina,"Calle del Conde de Romanones, 3 (at  Generación X),Madrid,Spain,28012",40.413759,-3.704579,1.0,4.0,"['American', 'International']",10,1,+34-911593339,1,1,1,"{'Monday': '10:30 - 20:30', 'Tuesday': '10:30 - 20:30', 'Wednesday': '10:30 - 20:30', 'Thursday': '10:30 - 21:00', 'Friday': '10:30 - 23:00', 'Saturday': '10:30 - 21:00', 'Sunday': '11:30 - 20:30'}",https://www.happycow.net/reviews/coco-bar-tirso-de-molina-madrid-329300,72.5,7.0,10.36,3,1,0.23496768698035295
157,Le.cha - 乐茶,"23 Calle de Toledo,Madrid,Spain,28005",40.414059,-3.707373,1.0,5.0,[],3,0,+34-611050860,0,0,1,"{'Monday': '12:00 - 21:30', 'Tuesday': '12:00 - 21:30', 'Wednesday': '12:00 - 21:30', 'Thursday': '12:00 - 21:30', 'Friday': '12:00 - 21:30', 'Saturday': '12:00 - 21:30', 'Sunday': '12:00 - 21:30'}",https://www.happycow.net/reviews/le-cha-madrid-308442,66.5,7.0,9.5,1,1,0.22777882710219804
158,Four ,"C. de Calderón de la Barca, 8, Centro,Madrid,Spain,28013",40.416017,-3.711153,1.0,4.0,['Spanish'],1,0,+34-622571608,1,1,0,"{'Monday': '10:00 - 18:00', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 18:00', 'Thursday': '10:00 - 18:00', 'Friday': '10:00 - 18:00', 'Saturday': '10:00 - 18:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/four-madrid-405304,48.0,6.0,6.86,2,1,0.22734329574282913
159,Vegaviana,"Calle Pelayo, 35,Madrid,Spain",40.42341,-3.69808,20.0,3.5,"['Mediterranean', 'Spanish']",14,2,+34-913080381,0,0,0,"{'Monday': 'Closed', 'Tuesday': '13:30 - 16:00, 21:00 - 23:30', 'Wednesday': '13:30 - 16:00, 21:00 - 23:30', 'Thursday': '13:30 - 16:00, 21:00 - 23:30', 'Friday': '13:30 - 16:00, 21:00 - 00:00', 'Saturday': '13:30 - 16:00, 21:00 - 00:00', 'Sunday': '13:30 - 16:00'}",https://www.happycow.net/reviews/vegaviana-madrid-6038,28.5,6.0,4.07,0,0,0.25477695683573137
160,Federal,"Plaza del Conde de Barajas,Madrid,Spain,28005",40.414406,-3.708725,10.0,3.5,"['European', 'Spanish']",24,1,+34-918526848,1,0,1,"{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 01:00', 'Saturday': '09:00 - 01:00', 'Sunday': '09:00 - 17:30'}",https://www.happycow.net/reviews/federal-madrid-152983,100.5,7.0,14.36,2,1,0.3440219987778457
161,Barganzo,"Calle Colmenares, 13,Madrid,Spain,28004",40.421073,-3.696813,37.0,5.0,"['Mediterranean', 'Middle Eastern']",48,2,+34-910443233,1,0,0,"{'Monday': '13:00 - 16:30, 20:00 - 23:00', 'Tuesday': '13:00 - 16:30, 20:00 - 23:00', 'Wednesday': '13:00 - 16:30, 20:00 - 23:00', 'Thursday': '13:00 - 16:30, 20:00 - 23:00', 'Friday': '13:00 - 16:30', 'Saturday': 'Closed', 'Sunday': '13:00 - 17:30, 20:00 - 23:00'}",https://www.happycow.net/reviews/barganzo-madrid-194084,37.0,6.0,5.29,1,1,0.2890843101309187
162,Restaurant Sublime World,"C. de Concepción Jerónima, 28,Madrid,Spain,28012",40.413887,-3.707082,1.0,3.0,['American'],6,2,+34-919417153,1,1,1,"{'Monday': '13:00 - 16:00, 20:00 - 00:00', 'Tuesday': 'Closed', 'Wednesday': '13:00 - 16:00, 20:00 - 00:00', 'Thursday': '13:00 - 16:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:30', 'Saturday': '13:00 - 17:00, 19:30 - 01:00', 'Sunday': '13:00 - 17:00, 19:30 - 00:00'}",https://www.happycow.net/reviews/restaurant-sublime-world-madrid-283205,47.5,6.0,6.79,3,1,0.32803992370794216
163,Sr Ceviche,"Calle San Mateo 6,Madrid,Spain,28003",40.425048,-3.700118,1.0,4.0,['Latin'],2,2,+34-625419596,1,1,1,"{'Monday': '14:00 - 17:00, 20:00 - 23:00', 'Tuesday': '14:00 - 17:00, 20:00 - 23:00', 'Wednesday': '14:00 - 17:00, 20:00 - 23:00', 'Thursday': '14:00 - 17:00, 20:00 - 23:00', 'Friday': '14:00 - 03:00', 'Saturday': '14:00 - 03:00', 'Sunday': '14:00 - 23:00'}",https://www.happycow.net/reviews/sr-ceviche-madrid-342940,59.0,7.0,8.43,3,1,0.10026109660574413
164,Labonata Heladeria ,"8 Plaza de Chueca,Madrid,Spain,28004",40.42268,-3.697452,0.0,0.0,['Italian'],1,0,No phone number,1,1,1,"{'Monday': '14:00 - 23:00', 'Tuesday': '14:00 - 23:00', 'Wednesday': '14:00 - 23:00', 'Thursday': '14:00 - 23:00', 'Friday': '14:00 - 23:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 23:00'}",https://www.happycow.net/reviews/labonata-heladeria-madrid-346469,66.0,7.0,9.43,3,1,0.24889098753772942
165,Noburu,"C. del Dos de Mayo, 9,Madrid,Spain,28004",40.426223,-3.704244,2.0,4.5,['Spanish'],2,0,+34-650600549,0,1,1,"{'Monday': '08:00 - 19:00', 'Tuesday': '08:00 - 16:00', 'Wednesday': '08:00 - 16:00', 'Thursday': '08:00 - 16:00', 'Friday': '08:00 - 16:00', 'Saturday': '09:00 - 17:00', 'Sunday': '10:00 - 17:00'}",https://www.happycow.net/reviews/noburu-madrid-409775,58.0,7.0,8.29,2,1,0.35490509786493346
166,Ramen Shifu - Calle de Toledo,"Calle de Toledo, 24,Madrid,Spain,28005",40.413922,-3.7076,16.0,4.0,"['Japanese', 'Asian']",56,2,+34-910581854,1,1,1,"{'Monday': 'Closed', 'Tuesday': '13:00 - 16:30, 20:00 - 23:30', 'Wednesday': '13:00 - 16:30, 20:00 - 23:30', 'Thursday': '13:00 - 16:30, 20:00 - 23:30', 'Friday': '13:00 - 16:30, 20:00 - 00:00', 'Saturday': '13:00 - 16:30, 20:00 - 00:00', 'Sunday': '13:00 - 16:30, 20:00 - 23:30'}",https://www.happycow.net/reviews/ramen-shifu-madrid-194673,43.0,6.0,6.14,3,1,0.26085106382978723
167,Cafestic,"Calle de Cuchilleros, 19,Madrid,Spain,28005",40.413983,-3.708039,1.0,4.0,"['Western', 'Spanish']",0,2,No phone number,0,0,1,"{'Monday': '08:30 - 01:00', 'Tuesday': '08:30 - 01:00', 'Wednesday': '08:30 - 01:00', 'Thursday': '08:30 - 01:00', 'Friday': '08:30 - 01:00', 'Saturday': '08:30 - 01:00', 'Sunday': '08:30 - 01:00'}",https://www.happycow.net/reviews/cafestic-madrid-381185,115.5,7.0,16.5,1,1,0.2758187508101402
168,Brutal Burrito,"Calle de San Bernardo, 64,Madrid,Spain,28015",40.426189,-3.706818,2.0,3.5,"['American', 'Mexican']",3,2,+34-629879429,1,1,0,"{'Monday': '17:00 - 22:30', 'Tuesday': '17:00 - 22:30', 'Wednesday': '17:00 - 22:30', 'Thursday': '17:00 - 22:30', 'Friday': '17:00 - 22:30', 'Saturday': '17:00 - 22:30', 'Sunday': '17:00 - 22:30'}",https://www.happycow.net/reviews/brutal-burrito-madrid-367715,38.5,7.0,5.5,2,1,0.29607984741588433
169,Carmencita Brunch,"C. de San Vicente Ferrer, 57, Centro,Madrid,Spain,28015",40.425938,-3.707937,2.0,4.0,"['Western', 'Mexican']",4,2,+34-910003890,1,1,0,"{'Monday': '09:00 - 16:30', 'Tuesday': '09:00 - 16:30', 'Wednesday': '09:00 - 16:30', 'Thursday': '09:00 - 16:30', 'Friday': '09:00 - 16:30', 'Saturday': '09:00 - 16:30', 'Sunday': '09:00 - 16:30'}",https://www.happycow.net/reviews/carmencita-brunch-madrid-399834,52.5,7.0,7.5,2,1,0.34909060607744014
170,Brunchit - Malasaña,"12 Calle del Noviciado,Madrid,Spain,28015",40.425713,-3.708606,7.0,3.5,['International'],12,3,+34-911089446,1,1,1,"{'Monday': '09:00 - 16:00', 'Tuesday': '09:00 - 16:00', 'Wednesday': '09:00 - 16:00', 'Thursday': '09:00 - 16:00', 'Friday': '09:00 - 16:00', 'Saturday': '09:00 - 16:00', 'Sunday': '09:00 - 16:00'}",https://www.happycow.net/reviews/brunchit-malasana-madrid-309892,49.0,7.0,7.0,3,1,0.34176249467622166
171,El Arco Pinoy,"C de las Huertas, 7,Madrid,Spain,28012",40.414109,-3.701068,7.0,4.0,['Asian'],35,2,+34-917568914,1,1,1,"{'Monday': '13:00 - 16:30, 19:00 - 23:30', 'Tuesday': '13:00 - 16:30, 19:00 - 23:30', 'Wednesday': '13:00 - 16:30, 19:00 - 23:30', 'Thursday': '13:00 - 16:30, 19:00 - 23:30', 'Friday': '13:00 - 16:30, 19:00 - 23:30', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 23:30'}",https://www.happycow.net/reviews/el-arco-pinoy-madrid-267668,61.0,7.0,8.71,3,1,0.3371242338388608
172,Falafeleria - La Latina,"Calle de Toledo 28, Centro,Madrid,Spain,28005",40.413757,-3.707578,2.0,5.0,"['Mediterranean', 'Middle Eastern']",8,1,No phone number,1,1,1,"{'Monday': '13:00 - 23:00', 'Tuesday': '13:00 - 23:00', 'Wednesday': '13:00 - 23:00', 'Thursday': '13:00 - 23:00', 'Friday': '13:00 - 23:30', 'Saturday': '13:00 - 23:30', 'Sunday': '13:00 - 23:00'}",https://www.happycow.net/reviews/falafeleria-madrid-410144,71.0,7.0,10.14,3,1,0.20582189878340096
173,Antonia Pizza,"Calle del Dos de Mayo, 10,Madrid,Spain,28004",40.426435,-3.704096,5.0,2.5,"['American', 'Italian', 'Spanish']",6,2,+34-911661315,0,0,1,"{'Monday': '18:00 - 00:00', 'Tuesday': '18:00 - 00:00', 'Wednesday': '18:00 - 00:00', 'Thursday': '18:00 - 00:00', 'Friday': '13:00 - 01:00', 'Saturday': '13:00 - 01:00', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/antonia-pizza-madrid-182124,59.0,7.0,8.43,1,1,0.31163750162028037
174,Miss Sushi - Santa Ana,"C del Prado, 2,Madrid,Spain,28012",40.414535,-3.700013,4.0,3.5,"['Japanese', 'Asian', 'Fusion']",6,2,+34-910100811,1,1,1,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/miss-sushi-madrid-368969,77.0,7.0,11.0,3,1,0.24307538470084994
175,Sweet Studio,"Nº16, Calle del Noviciado,Madrid,Spain,28015",40.425714,-3.708864,3.0,3.5,"['Japanese', 'Western', 'European']",2,2,+34-919204967,1,0,0,"{'Monday': '09:00 - 20:00', 'Tuesday': 'Closed', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/sweet-studio-madrid-292089,66.0,6.0,9.43,1,1,0.2001996185397108
176,Toma Café 1,"Calle de la Palma, 49,Madrid,Spain,28004",40.426433,-3.705853,5.0,4.0,[],10,0,+34-917049344,1,0,0,"{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/toma-cafe-1-madrid-233744,82.0,7.0,11.71,1,1,0.2685684128659519
177,GRACIANA Empanadas Argentinas,"9 Calle del Noviciado,Madrid,Spain,28015",40.425673,-3.709069,7.0,4.0,[],10,0,+34-916171272,1,1,1,"{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 23:00', 'Saturday': '12:00 - 23:00', 'Sunday': '12:00 - 23:00'}",https://www.happycow.net/reviews/graciana-empanadas-argentinas-madrid-293880,77.0,7.0,11.0,3,1,0.20118511934522157
178,Xiongzai,"Calle San Leonardo, 3,Madrid,Spain,28015",40.424842,-3.71071,18.0,3.5,"['Chinese', 'Asian']",48,1,+34-914669808,0,0,0,"{'Monday': 'Closed', 'Tuesday': '12:30 - 23:30', 'Wednesday': '12:30 - 23:30', 'Thursday': '12:30 - 23:30', 'Friday': '12:30 - 23:30', 'Saturday': '12:30 - 23:30', 'Sunday': '12:30 - 23:00'}",https://www.happycow.net/reviews/xiongzai-madrid-112789,65.5,6.0,9.36,0,0,0.21555765420439607
179,Masamune,"C. de la Palma, 2, Centro,Madrid,Spain,28004",40.426078,-3.701305,2.0,4.5,[],2,0,No phone number,1,0,0,"{'Monday': 'Closed', 'Tuesday': '08:30 - 20:00', 'Wednesday': '08:30 - 20:00', 'Thursday': '08:30 - 20:00', 'Friday': '08:30 - 20:00', 'Saturday': '09:30 - 20:00', 'Sunday': '09:30 - 20:00'}",https://www.happycow.net/reviews/masamune-madrid-397660,67.0,6.0,9.57,1,1,0.5659711497509398
180,Distrito Vegano Invernadero,"Calle Conde De Romanones, 10,Madrid,Spain,28012",40.413113,-3.705046,150.0,4.5,"['International', 'European', 'Spanish']",351,2,+34-912108273,1,1,1,"{'Monday': 'Closed', 'Tuesday': '11:00 - 00:00', 'Wednesday': '11:00 - 00:00', 'Thursday': '11:00 - 00:00', 'Friday': '11:00 - 01:00', 'Saturday': '10:00 - 01:00', 'Sunday': '10:00 - 18:00'}",https://www.happycow.net/reviews/distrito-vegano-invernadero-madrid-284035,76.0,6.0,10.86,3,1,0.3318985982260245
181,Natura,"Calle Jovellanos, 6,Madrid,Spain,28014",40.416957,-3.696825,4.0,4.0,"['Italian', 'Mediterranean']",7,2,+34-919223375,1,1,1,"{'Monday': '13:00 - 17:00, 20:00 - 00:00', 'Tuesday': '13:00 - 17:00, 20:00 - 00:00', 'Wednesday': '13:00 - 17:00, 20:00 - 00:00', 'Thursday': '13:00 - 17:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:00', 'Saturday': '13:00 - 17:00, 20:00 - 00:00', 'Sunday': '13:00 - 17:00, 20:00 - 00:00'}",https://www.happycow.net/reviews/natura-madrid-284735,56.0,7.0,8.0,3,1,0.1671888598781549
182,Con 2 Fogones,"C. de San Bernardino, 9,Madrid,Spain,28015",40.425233,-3.710675,0.0,0.0,"['International', 'Spanish']",2,2,+34-915596326,1,1,1,"{'Monday': '13:00 - 17:00, 20:00 - 00:00', 'Tuesday': '13:00 - 17:00, 20:00 - 00:00', 'Wednesday': '13:00 - 17:00, 20:00 - 00:00', 'Thursday': '13:00 - 17:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:00', 'Saturday': '13:00 - 17:00, 20:00 - 01:00', 'Sunday': '13:00 - 17:00'}",https://www.happycow.net/reviews/con-2-fogones-madrid-410568,53.0,7.0,7.57,3,1,0.3151673055200637
183,Smok Mok - Food Stall,"Calle del Dr Cortezo, 10,Madrid,Spain,28012",40.413028,-3.703927,6.0,3.5,['Asian'],13,2,+34-914213575,1,1,1,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:30', 'Saturday': '13:00 - 00:30', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/smok-mok-madrid-301792,78.0,7.0,11.14,3,1,0.32513675166194467
184,VegAmazing Doughnuts - Tirso de Molina,"Calle del Conde de Romanones, 14,Madrid,Spain,28012",40.41299,-3.705299,46.0,5.0,[],74,0,+34-655490879,0,1,1,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 14:00, 16:00 - 20:00', 'Thursday': '10:00 - 14:00, 16:00 - 20:00', 'Friday': '10:00 - 14:00, 16:00 - 20:00', 'Saturday': '10:00 - 20:00', 'Sunday': '10:00 - 20:00'}",https://www.happycow.net/reviews/vegamazing-doughnuts-madrid-324338,44.0,5.0,6.29,2,1,0.26811399366701855
185,Faborit,"2 Calle Princesa,Madrid,Spain,28008",40.424567,-3.71161,8.0,4.0,[],5,0,+34-918626313,1,1,1,"{'Monday': '08:00 - 19:00', 'Tuesday': '08:00 - 19:00', 'Wednesday': '08:00 - 19:00', 'Thursday': '08:00 - 19:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'}",https://www.happycow.net/reviews/faborit-madrid-265976,78.0,7.0,11.14,3,1,0.1669277632724108
186,Lalina Bravas y Tapas Chueca,"Calle de Gravina 18,Madrid,Spain,28004",40.422621,-3.696478,0.0,0.0,['Spanish'],1,2,+34-910254247,1,1,1,"{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 01:00', 'Friday': '13:00 - 02:30', 'Saturday': '13:00 - 02:30', 'Sunday': '13:00 - 00:00'}",https://www.happycow.net/reviews/lalina-bravas-y-tapas-chueca-gluten-free-madrid-415121,83.0,7.0,11.86,3,1,0.2921596948317686
187,Lamucca de Prado,"C. del Prado, 16,Madrid,Spain,28014",40.414759,-3.698674,4.0,3.0,"['American', 'International', 'Mediterranean', 'Spanish']",8,2,+34-915210000,1,1,1,"{'Monday': '13:00 - 01:30', 'Tuesday': '13:00 - 01:30', 'Wednesday': '13:00 - 01:30', 'Thursday': '13:00 - 02:00', 'Friday': '13:00 - 02:30', 'Saturday': '13:00 - 02:30', 'Sunday': '13:00 - 01:30'}",https://www.happycow.net/reviews/lamucca-de-prado-madrid-316792,90.0,7.0,12.86,3,1,0.271759346702961
188,Guasa,"Calle de San Lorenzo, 9,Madrid,Spain,28004",40.425278,-3.698956,4.0,4.0,['Spanish'],32,1,+34-910098265,1,0,1,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '13:00 - 16:00, 19:00 - 21:00', 'Thursday': '13:00 - 16:00, 19:00 - 21:00', 'Friday': '13:00 - 16:00, 19:00 - 21:00', 'Saturday': '13:00 - 21:00', 'Sunday': '13:00 - 21:00'}",https://www.happycow.net/reviews/guasa-madrid-215380,31.0,5.0,4.43,2,1,0.25614762142843917
189,Mamuka ,"Tr.ª del Conde Duque, 5, Local,Madrid,Spain,28015",40.42581,-3.709918,3.0,3.0,"['Caribbean', 'French']",1,1,+34-919121131,1,1,1,"{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 16:00', 'Thursday': '10:00 - 16:00, 19:00 - 23:00', 'Friday': '10:00 - 00:00', 'Saturday': '10:00 - 00:00', 'Sunday': '10:00 - 16:00'}",https://www.happycow.net/reviews/mamuka-madrid-376273,50.0,5.0,7.14,3,1,0.32941318074921766
190,Bodegas Rivas,"C. de la Palma, 61, Centro,Madrid,Spain,28015",40.426639,-3.707638,2.0,4.0,"['Western', 'Mexican', 'Spanish']",4,2,+34-914217954,1,1,1,"{'Monday': '10:00 - 00:00', 'Tuesday': '10:00 - 00:00', 'Wednesday': '10:00 - 00:00', 'Thursday': '10:00 - 00:00', 'Friday': '10:00 - 02:00', 'Saturday': '10:00 - 02:00', 'Sunday': '10:00 - 00:00'}",https://www.happycow.net/reviews/bodegas-rivas-madrid-378164,102.0,7.0,14.57,3,1,0.2776464270503491
191,Dellicare Cafe,"Calle Pelayo 45,Madrid,Spain,28004",40.424276,-3.697511,2.0,3.5,['Western'],10,2,+34-910235759,1,0,1,"{'Monday': 'Closed', 'Tuesday': '10:30 - 20:30', 'Wednesday': '10:30 - 20:30', 'Thursday': '10:30 - 20:30', 'Friday': '10:30 - 20:30', 'Saturday': '12:00 - 20:30', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/dellicare-madrid-58696,48.5,5.0,6.93,2,1,0.32751773049645394
192,EL INCA,"C. de Gravina, 23,Madrid,Spain,28004",40.422682,-3.696212,1.0,4.0,['Latin'],0,2,+34-915327745,1,1,1,"{'Monday': '13:00 - 17:00', 'Tuesday': '13:00 - 17:00', 'Wednesday': '13:00 - 17:00', 'Thursday': '13:00 - 17:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:00', 'Saturday': '13:00 - 17:00, 20:00 - 00:00', 'Sunday': 'Closed'}",https://www.happycow.net/reviews/el-inca-madrid-409690,36.0,6.0,5.14,3,1,0.29634094402162847
193,Ninja Ramen,"Calle de Barcelo, 1,Madrid,Spain,28004",40.426474,-3.700983,2.0,4.0,['Japanese'],5,2,+34-914939993,1,0,1,"{'Monday': '12:30 - 16:30, 19:30 - 00:00', 'Tuesday': '12:30 - 16:30, 19:30 - 00:00', 'Wednesday': '12:30 - 16:30, 19:30 - 00:00', 'Thursday': '12:30 - 16:30, 19:30 - 00:00', 'Friday': '12:30 - 16:30, 19:30 - 00:00', 'Saturday': '12:30 - 16:30, 19:30 - 00:00', 'Sunday': '12:30 - 16:30, 19:30 - 00:00'}",https://www.happycow.net/reviews/ninja-ramen-madrid-257959,59.5,7.0,8.5,2,1,0.30679480769586875
194,Gonder,"Grafal, 8,Madrid,Spain,28005",40.413177,-3.708194,6.0,4.0,"['Middle Eastern', 'African']",32,2,+34-917047250,1,0,1,"{'Monday': 'Closed', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 00:00'}",https://www.happycow.net/reviews/gonder-madrid-219595,72.0,6.0,10.29,2,1,0.26163435364701965
195,Oakberry,"Calle de Fuencarral, 80,Madrid,Spain,28004",40.426572,-3.701194,1.0,4.0,"['International', 'Brazilian']",3,0,+34-661426222,1,1,1,"{'Monday': '10:00 - 21:30', 'Tuesday': '09:30 - 21:30', 'Wednesday': '09:30 - 21:30', 'Thursday': '09:30 - 21:30', 'Friday': '09:30 - 21:30', 'Saturday': '09:30 - 21:30', 'Sunday': '10:00 - 21:30'}",https://www.happycow.net/reviews/oakberry-madrid-298937,83.0,7.0,11.86,3,1,0.2544454937688647
196,Sra. Smith,"C. del Barquillo, 10,Madrid,Spain,28004",40.420503,-3.69545,1.0,3.0,"['Mediterranean', 'Spanish']",1,2,+34-915240317,1,1,0,"{'Monday': '09:00 - 17:00', 'Tuesday': '09:00 - 17:00', 'Wednesday': '09:00 - 23:30', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 23:30'}",https://www.happycow.net/reviews/sra-smith-madrid-401253,84.0,7.0,12.0,2,1,0.3750017591615281
197,Honest Greens - Hortaleza,"Calle de Hortaleza, 100,Madrid,Spain,28004",40.424824,-3.697831,39.0,4.0,"['International', 'European']",58,2,+34-910743585,1,1,1,"{'Monday': '08:30 - 23:00', 'Tuesday': '08:30 - 23:00', 'Wednesday': '08:30 - 23:00', 'Thursday': '08:30 - 23:00', 'Friday': '08:30 - 00:00', 'Saturday': '09:30 - 00:00', 'Sunday': '09:30 - 23:00'}",https://www.happycow.net/reviews/honest-greens-madrid-127458,101.5,7.0,14.5,3,1,0.32751773049645394
198,Las Mañanitas,"Calle de Fuencarral, 82,Madrid,Spain,28004",40.426688,-3.70134,1.0,4.0,['Mexican'],0,3,+34-915224589,1,0,1,"{'Monday': '13:00 - 16:00, 21:00 - 00:00', 'Tuesday': '13:00 - 16:00, 21:00 - 00:00', 'Wednesday': '13:00 - 16:00, 21:00 - 00:00', 'Thursday': '13:00 - 16:00, 21:00 - 00:00', 'Friday': '13:00 - 16:00, 20:00 - 00:00', 'Saturday': '13:00 - 16:00, 20:00 - 00:00', 'Sunday': '13:00 - 16:00'}",https://www.happycow.net/reviews/las-mananitas-madrid-106859,41.0,7.0,5.86,2,1,0.2715697276077255
199,Amazonia Acai - Malasaña,"Calle de Amaniel, 20,Madrid,Spain,28015",40.426416,-3.709263,3.0,5.0,"['Western', 'Brazilian']",9,0,+34-910257194,1,0,1,"{'Monday': '10:00 - 14:00, 17:00 - 21:30', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 14:00, 17:00 - 21:30', 'Thursday': '10:00 - 14:00, 17:00 - 21:30', 'Friday': '10:00 - 14:00, 17:00 - 21:30', 'Saturday': '10:00 - 21:30', 'Sunday': '10:00 - 21:30'}",https://www.happycow.net/reviews/amazonia-acai-madrid-260742,57.0,6.0,8.14,2,1,0.22184026813325186
200,Celicioso Barquillo,"Calle del Barquillo, 19,Madrid,Spain,28004",40.422139,-3.695701,12.0,3.5,[],19,0,+34-915322899,1,0,1,"{'Monday': '09:00 - 22:00', 'Tuesday': '09:00 - 22:00', 'Wednesday': '09:00 - 22:00', 'Thursday': '09:00 - 22:00', 'Friday': '09:00 - 22:00', 'Saturday': '09:00 - 22:00', 'Sunday': '09:00 - 22:00'}",https://www.happycow.net/reviews/celicioso-barquillo-madrid-108302,91.0,7.0,13.0,2,1,0.26444864174212546
201,La Huerta de Almería - Hortaleza,"C/ de Hortaleza, 73,Madrid,Spain,28004",40.425029,-3.69793,4.0,4.0,"['International', 'Mediterranean']",4,2,+34-910255989,1,0,0,"{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 23:00', 'Saturday': '10:00 - 23:00', 'Sunday': '09:00 - 23:00'}",https://www.happycow.net/reviews/la-huerta-de-almeria-madrid-341977,92.0,7.0,13.14,1,1,0.2711153084087921
