Name;Address;Lat;Long;Number of Ratings;Restaurant Rating;Type of Restaurant;Number of Bookmarks;Price Range;Phone Number;Website;Instagram;Facebook;Timetable;url;index_right;NOMBRE_DISTRITO
Dellicare Cafe;Calle Pelayo 45,Madrid,Spain,28004;40.424276;-3.697511;2.0;3.5;['Western'];10;Moderado;+34-910235759;http://www.dellicare.com/;No instagram;http://facebook.com/dellicare;{'Monday': 'Closed', 'Tuesday': '10:30 - 20:30', 'Wednesday': '10:30 - 20:30', 'Thursday': '10:30 - 20:30', 'Friday': '10:30 - 20:30', 'Saturday': '12:00 - 20:30', 'Sunday': 'Closed'};https://www.happycow.net/reviews/dellicare-madrid-58696;0.0;Centro
EL INCA;C. de Gravina, 23,Madrid,Spain,28004;40.422682;-3.696212;1.0;4.0;['Latin'];0;Moderado;+34-915327745;http://www.elinca.es/;http://www.instagram.com/elincamadrid;http://facebook.com/elincamadrid/;{'Monday': '13:00 - 17:00', 'Tuesday': '13:00 - 17:00', 'Wednesday': '13:00 - 17:00', 'Thursday': '13:00 - 17:00, 20:00 - 00:00', 'Friday': '13:00 - 17:00, 20:00 - 00:00', 'Saturday': '13:00 - 17:00, 20:00 - 00:00', 'Sunday': 'Closed'};https://www.happycow.net/reviews/el-inca-madrid-409690;0.0;Centro
Ninja Ramen;Calle de Barcelo, 1,Madrid,Spain,28004;40.426474;-3.700983;2.0;4.0;['Japanese'];5;Moderado;+34-914939993;https://ninjaramen.es/;No instagram;http://facebook.com/ninjaramen1;{'Monday': '12:30 - 16:30, 19:30 - 00:00', 'Tuesday': '12:30 - 16:30, 19:30 - 00:00', 'Wednesday': '12:30 - 16:30, 19:30 - 00:00', 'Thursday': '12:30 - 16:30, 19:30 - 00:00', 'Friday': '12:30 - 16:30, 19:30 - 00:00', 'Saturday': '12:30 - 16:30, 19:30 - 00:00', 'Sunday': '12:30 - 16:30, 19:30 - 00:00'};https://www.happycow.net/reviews/ninja-ramen-madrid-257959;0.0;Centro
Gonder;Grafal, 8,Madrid,Spain,28005;40.413177;-3.708194;6.0;4.0;['Middle Eastern', 'African'];32;Moderado;+34-917047250;https://www.gonder.es/;No instagram;http://facebook.com/restaurantegonder;{'Monday': 'Closed', 'Tuesday': '12:00 - 00:00', 'Wednesday': '12:00 - 00:00', 'Thursday': '12:00 - 00:00', 'Friday': '12:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 00:00'};https://www.happycow.net/reviews/gonder-madrid-219595;0.0;Centro
Oakberry;Calle de Fuencarral, 80,Madrid,Spain,28004;40.426572;-3.701194;1.0;4.0;['International', 'Brazilian'];3;No price range;+34-661426222;https://oakberry.com/;http://www.instagram.com/oakberryes;http://facebook.com/oakberryacai;{'Monday': '10:00 - 21:30', 'Tuesday': '09:30 - 21:30', 'Wednesday': '09:30 - 21:30', 'Thursday': '09:30 - 21:30', 'Friday': '09:30 - 21:30', 'Saturday': '09:30 - 21:30', 'Sunday': '10:00 - 21:30'};https://www.happycow.net/reviews/oakberry-madrid-298937;0.0;Centro
Sra. Smith;C. del Barquillo, 10,Madrid,Spain,28004;40.420503;-3.69545;1.0;3.0;['Mediterranean', 'Spanish'];1;Moderado;+34-915240317;https://www.srasmithrestaurante.com/;http://www.instagram.com/sra.smith.restaurante;No facebook;{'Monday': '09:00 - 17:00', 'Tuesday': '09:00 - 17:00', 'Wednesday': '09:00 - 23:30', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 00:00', 'Saturday': '12:00 - 00:00', 'Sunday': '12:00 - 23:30'};https://www.happycow.net/reviews/sra-smith-madrid-401253;0.0;Centro
Honest Greens - Hortaleza;Calle de Hortaleza, 100,Madrid,Spain,28004;40.424824;-3.697831;39.0;4.0;['International', 'European'];58;Moderado;+34-910743585;https://honestgreens.com/;http://www.instagram.com/honestgreens;http://facebook.com/honest-greens-1819605338157596;{'Monday': '08:30 - 23:00', 'Tuesday': '08:30 - 23:00', 'Wednesday': '08:30 - 23:00', 'Thursday': '08:30 - 23:00', 'Friday': '08:30 - 00:00', 'Saturday': '09:30 - 00:00', 'Sunday': '09:30 - 23:00'};https://www.happycow.net/reviews/honest-greens-madrid-127458;0.0;Centro
Las Mañanitas;Calle de Fuencarral, 82,Madrid,Spain,28004;40.426688;-3.70134;1.0;4.0;['Mexican'];0;Caro;+34-915224589;http://www.mananitas.com/;No instagram;http://facebook.com/MananitasMadrid;{'Monday': '13:00 - 16:00, 21:00 - 00:00', 'Tuesday': '13:00 - 16:00, 21:00 - 00:00', 'Wednesday': '13:00 - 16:00, 21:00 - 00:00', 'Thursday': '13:00 - 16:00, 21:00 - 00:00', 'Friday': '13:00 - 16:00, 20:00 - 00:00', 'Saturday': '13:00 - 16:00, 20:00 - 00:00', 'Sunday': '13:00 - 16:00'};https://www.happycow.net/reviews/las-mananitas-madrid-106859;0.0;Centro
Amazonia Acai - Malasaña;Calle de Amaniel, 20,Madrid,Spain,28015;40.426416;-3.709263;3.0;5.0;['Western', 'Brazilian'];9;No price range;+34-910257194;https://cdn.me-qr.com/pdf/1138521.pdf;No instagram;http://facebook.com/amazonacaies;{'Monday': '10:00 - 14:00, 17:00 - 21:30', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 14:00, 17:00 - 21:30', 'Thursday': '10:00 - 14:00, 17:00 - 21:30', 'Friday': '10:00 - 14:00, 17:00 - 21:30', 'Saturday': '10:00 - 21:30', 'Sunday': '10:00 - 21:30'};https://www.happycow.net/reviews/amazonia-acai-madrid-260742;0.0;Centro
Celicioso Barquillo;Calle del Barquillo, 19,Madrid,Spain,28004;40.422139;-3.695701;12.0;3.5;[];19;No price range;+34-915322899;http://www.celicioso.es/;No instagram;http://facebook.com/Celicioso;{'Monday': '09:00 - 22:00', 'Tuesday': '09:00 - 22:00', 'Wednesday': '09:00 - 22:00', 'Thursday': '09:00 - 22:00', 'Friday': '09:00 - 22:00', 'Saturday': '09:00 - 22:00', 'Sunday': '09:00 - 22:00'};https://www.happycow.net/reviews/celicioso-barquillo-madrid-108302;0.0;Centro
La Huerta de Almería - Hortaleza;C/ de Hortaleza, 73,Madrid,Spain,28004;40.425029;-3.69793;4.0;4.0;['International', 'Mediterranean'];4;Moderado;+34-910255989;https://huertadealmeria.com/;No instagram;No facebook;{'Monday': '10:00 - 23:00', 'Tuesday': '10:00 - 23:00', 'Wednesday': '10:00 - 23:00', 'Thursday': '10:00 - 23:00', 'Friday': '10:00 - 23:00', 'Saturday': '10:00 - 23:00', 'Sunday': '09:00 - 23:00'};https://www.happycow.net/reviews/la-huerta-de-almeria-madrid-341977;0.0;Centro
Juicy Avenue - Fuencarral;93 Calle de Fuencarral,Madrid,Spain,28004;40.426896;-3.701734;4.0;2.5;['International', 'Western'];4;Moderado;+34-910944403;https://www.juicyavenue.es/;http://www.instagram.com/juicyavenue_es;http://facebook.com/ilovejuicyavenue;{'Monday': '07:30 - 23:30', 'Tuesday': '07:30 - 23:30', 'Wednesday': '07:30 - 23:30', 'Thursday': '07:30 - 23:30', 'Friday': '07:30 - 00:00', 'Saturday': '07:30 - 00:00', 'Sunday': '07:30 - 00:00'};https://www.happycow.net/reviews/juicy-avenue-madrid-286909;0.0;Centro
Zuppa;Calle Atocha, 47,Madrid,Spain;40.413298;-3.700621;7.0;3.5;['Fusion', 'Spanish'];14;Moderado;No phone number;http://www.zuppa.es/;No instagram;No facebook;{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 23:00', 'Saturday': '12:00 - 23:00', 'Sunday': 'Closed'};https://www.happycow.net/reviews/zuppa-madrid-209406;0.0;Centro
Dale Café ;C. de los Relatores, 22,Madrid,Spain,28012;40.412609;-3.703515;23.0;5.0;['International', 'Mediterranean', 'European', 'Spanish'];42;No price range;No phone number;No website;http://www.instagram.com/dalecafemadrid;No facebook;{'Monday': '09:00 - 20:00', 'Tuesday': '09:00 - 20:00', 'Wednesday': '09:00 - 20:00', 'Thursday': '09:00 - 20:00', 'Friday': '09:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': 'Closed'};https://www.happycow.net/reviews/dale-cafe-madrid-354361;0.0;Centro
Lamucca de Plaza de España  ;Pl. de España, 11, Moncloa - Aravaca,Madrid,Spain,28008;40.422266;-3.714091;0.0;0.0;['International', 'Mediterranean', 'European'];1;Moderado;+34-915210000;https://lamuccacompany.es/lamucca-de-plaza-espana;http://www.instagram.com/lamucca;http://facebook.com/GrupoLamuccaCompany;{'Monday': '10:00 - 01:30', 'Tuesday': '10:00 - 01:30', 'Wednesday': '10:00 - 01:30', 'Thursday': '10:00 - 01:30', 'Friday': '10:00 - 02:30', 'Saturday': '10:00 - 02:30', 'Sunday': '10:00 - 01:30'};https://www.happycow.net/reviews/lamucca-de-plaza-de-espana-madrid-396604;8.0;Moncloa-Aravaca
Empanadas Las Muns - Tribunal;88 Calle de Fuencarral,Madrid,Spain,28004;40.426948;-3.701297;0.0;0.0;['International', 'Spanish'];3;Moderado;+34-663868656;https://lasmuns.com/;http://www.instagram.com/lasmuns;No facebook;{'Monday': '08:30 - 22:00', 'Tuesday': '08:30 - 22:00', 'Wednesday': '08:30 - 22:00', 'Thursday': '08:30 - 22:00', 'Friday': '08:30 - 06:00', 'Saturday': '10:30 - 06:00', 'Sunday': '10:30 - 22:00'};https://www.happycow.net/reviews/empanadas-las-muns-tribunal-madrid-338261;0.0;Centro
Honest Greens - Fuencarral;Calle de Fuencarral 95,Madrid,Spain,28004;40.427073;-3.701712;16.0;4.0;['International', 'European'];13;Moderado;+34-931227664;https://honestgreens.com/;http://www.instagram.com/honestgreens;http://facebook.com/honestgreens.spain;{'Monday': '08:30 - 23:00', 'Tuesday': '08:30 - 23:00', 'Wednesday': '08:30 - 23:00', 'Thursday': '08:30 - 23:00', 'Friday': '08:30 - 00:00', 'Saturday': '09:30 - 00:00', 'Sunday': '09:30 - 23:00'};https://www.happycow.net/reviews/honest-greens-madrid-329495;0.0;Centro
Lamucca de Fuencarral ;Calle de Fuencarral, 95,Madrid,Spain,28004;40.427073;-3.701712;4.0;3.0;['American', 'International', 'European', 'Spanish'];0;Moderado;+34-915210000;https://www.lamuccacompany.com/lamucca-de-fuencarral;No instagram;http://facebook.com/GrupoLamuccaCompany;{'Monday': '11:00 - 01:30', 'Tuesday': '11:00 - 01:30', 'Wednesday': '11:00 - 01:30', 'Thursday': '11:00 - 02:00', 'Friday': '11:00 - 02:30', 'Saturday': '10:00 - 02:30', 'Sunday': '10:00 - 01:30'};https://www.happycow.net/reviews/lamucca-de-fuencarral-madrid-298289;0.0;Centro
Mala Mujer;Calle de la Palma, 72,Madrid,Spain,28015;40.426856;-3.70878;0.0;0.0;[];0;Moderado;+34-639132498;No website;No instagram;http://facebook.com/profile.php?id=100076123464060;{'Monday': '13:00 - 17:00, 19:00 - 00:00', 'Tuesday': '13:00 - 17:00, 19:00 - 00:00', 'Wednesday': '13:00 - 17:00, 19:00 - 00:00', 'Thursday': '13:00 - 17:00, 19:00 - 00:00', 'Friday': '13:00 - 17:00, 19:00 - 00:00', 'Saturday': '12:00 - 17:00, 19:00 - 00:00', 'Sunday': '12:00 - 14:30'};https://www.happycow.net/reviews/mala-mujer-madrid-386768;0.0;Centro
Ay! Rosa;Calle de León, 16,Madrid,Spain,28014;40.413832;-3.698997;7.0;3.5;['Mexican'];22;Moderado;+34-914203068;http://www.rosanegrarestaurantes.com/;No instagram;http://facebook.com/rosanegramadrid;{'Monday': '19:00 - 00:00', 'Tuesday': '19:00 - 00:00', 'Wednesday': '19:00 - 00:00', 'Thursday': '19:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'};https://www.happycow.net/reviews/ay-rosa-madrid-236098;0.0;Centro
Colorado Cantina Express;Martín de los heros. 4,Madrid,Spain,28008;40.42411;-3.713109;7.0;3.0;['Mexican'];4;Moderado;+34-625536840;No website;No instagram;http://facebook.com/ElColoradoExpress;{'Monday': '18:00 - 01:30', 'Tuesday': '18:00 - 01:30', 'Wednesday': '18:00 - 01:30', 'Thursday': '18:00 - 01:30', 'Friday': '18:00 - 01:30', 'Saturday': '18:00 - 01:30', 'Sunday': '18:00 - 01:30'};https://www.happycow.net/reviews/colorado-cantina-express-madrid-128575;8.0;Moncloa-Aravaca
Good Shit, Vegan Kebabs;Calle de San Bernardino 20, Centro,Madrid,Spain,28015;40.4257;-3.711392;5.0;3.5;['Mediterranean', 'Middle Eastern'];8;Moderado;+34-623105076;https://goodshitvegan.com/;http://www.instagram.com/goodshitvegan;No facebook;{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '19:00 - 23:00', 'Thursday': '19:00 - 23:00', 'Friday': '12:30 - 16:00, 19:00 - 23:00', 'Saturday': '12:30 - 16:00, 19:00 - 23:00', 'Sunday': '12:30 - 16:00, 19:00 - 23:00'};https://www.happycow.net/reviews/good-shit-vegan-kebabs-madrid-426906;0.0;Centro
Brunchit - Las Letras;Pl. de Matute, 5, Centro,Madrid,Spain,28012;40.413326;-3.699749;0.0;0.0;['Western', 'European', 'Fusion'];2;Moderado;+34-911089446;https://www.brunchit.es/;http://www.instagram.com/brunchit.es;http://facebook.com/Brunchitspain;{'Monday': '09:00 - 16:00', 'Tuesday': '09:00 - 16:00', 'Wednesday': '09:00 - 16:00', 'Thursday': '09:00 - 16:00', 'Friday': '09:00 - 16:00', 'Saturday': '09:00 - 16:00', 'Sunday': '09:00 - 16:00'};https://www.happycow.net/reviews/brunchit-madrid-398183;0.0;Centro
Mune;Calle Pelayo, 57,Madrid,Spain;40.424798;-3.697005;3.0;4.0;['Middle Eastern'];2;Moderado;+34-913952056;https://munemadrid.com/;No instagram;No facebook;{'Monday': '13:30 - 17:00, 20:00 - 01:00', 'Tuesday': '13:30 - 17:00, 20:00 - 01:00', 'Wednesday': '13:30 - 17:00, 20:00 - 01:00', 'Thursday': '13:30 - 17:00, 20:00 - 01:00', 'Friday': '13:30 - 17:00, 20:00 - 01:00', 'Saturday': '13:30 - 17:00, 20:00 - 01:00', 'Sunday': '13:30 - 17:00, 20:00 - 01:00'};https://www.happycow.net/reviews/mune-madrid-296227;0.0;Centro
Kirei Las Cortes;Calle San Agustín, 3, Las Letras (at Doubletree by Hilton),Madrid,Spain,28014;40.41517;-3.696795;2.0;2.5;['Japanese', 'Fusion'];5;Caro;+34-917371922;http://grupokabuki.com/es/restaurantes/kirei-las-cortes;No instagram;No facebook;{'Monday': '13:00 - 16:00, 20:00 - 00:00', 'Tuesday': '13:00 - 16:00, 20:00 - 00:00', 'Wednesday': '13:00 - 16:00, 20:00 - 00:00', 'Thursday': '13:00 - 16:00, 20:00 - 00:00', 'Friday': '13:00 - 16:00, 20:00 - 00:00', 'Saturday': '13:00 - 16:00, 20:00 - 00:00', 'Sunday': '13:00 - 16:00, 20:00 - 00:00'};https://www.happycow.net/reviews/kirei-las-cortes-madrid-110084;0.0;Centro
Il Limoncello;Plaza de Tirso de Molina,Madrid,Spain,28012;40.412124;-3.704281;3.0;1.5;['Italian'];3;Moderado;+34-911276109;No website;No instagram;No facebook;{'Monday': '13:00 - 00:00', 'Tuesday': '13:00 - 00:00', 'Wednesday': '13:00 - 00:00', 'Thursday': '13:00 - 00:00', 'Friday': '13:00 - 00:00', 'Saturday': '13:00 - 00:00', 'Sunday': '13:00 - 00:00'};https://www.happycow.net/reviews/il-limoncello-madrid-280069;0.0;Centro
MadRolls - Cinnamon Rolls;Bernardo Lopez Garcia Street 10,Madrid,Spain,28024;40.426884;-3.709595;5.0;3.5;[];2;No price range;+34-910060437;https://madrollscinnamonrolls.com/;http://www.instagram.com/madrolls_;http://facebook.com/tiendamadrolls;{'Monday': '11:00 - 13:00, 15:00 - 21:00', 'Tuesday': '11:00 - 13:00, 15:00 - 21:00', 'Wednesday': '11:00 - 13:00, 15:00 - 21:00', 'Thursday': '11:00 - 13:00, 15:00 - 21:00', 'Friday': '09:00 - 22:00', 'Saturday': '09:00 - 22:00', 'Sunday': '09:00 - 22:00'};https://www.happycow.net/reviews/madrolls-cinnamon-rolls-madrid-384660;0.0;Centro
Ambu Bakery;5 Calle de Ruiz,Madrid,Spain,28004;40.427745;-3.704005;1.0;4.0;[];1;No price range;No phone number;https://www.ambu.coffee/;http://www.instagram.com/ambu_coffee;No facebook;{'Monday': '09:00 - 17:00', 'Tuesday': '09:00 - 17:00', 'Wednesday': '09:00 - 17:00', 'Thursday': '09:00 - 17:00', 'Friday': '09:00 - 17:00', 'Saturday': '09:00 - 17:00', 'Sunday': '09:00 - 17:00'};https://www.happycow.net/reviews/ambu-bakery-madrid-380699;0.0;Centro
Trendy & Green;Apodaca 8,Madrid,Spain;40.427225;-3.701009;0.0;0.0;[];1;No price range;No phone number;https://trendyandgreen.es/;No instagram;http://facebook.com/TrendyandGreen;{'Horario': 'No hay horario'};https://www.happycow.net/reviews/trendy-and-green-madrid-233728;0.0;Centro
Café Federal;Plaza de las Comendadoras, 9,Madrid,Spain,28015;40.42703;-3.709301;10.0;3.5;['European', 'Spanish'];11;Barato;+34-915328424;http://federalcafe.es/madrid;No instagram;http://facebook.com/federalcafeofficial;{'Monday': '09:00 - 00:00', 'Tuesday': '09:00 - 00:00', 'Wednesday': '09:00 - 00:00', 'Thursday': '09:00 - 00:00', 'Friday': '09:00 - 01:00', 'Saturday': '09:00 - 01:00', 'Sunday': '09:00 - 17:00'};https://www.happycow.net/reviews/cafe-federal-madrid-180929;0.0;Centro
décimo B;C. del Conde Duque, 8,Madrid,Spain,28015;40.426068;-3.71133;0.0;0.0;['Spanish'];2;Moderado;+34-910969387;http://www.decimob.es/;http://www.instagram.com/decimobcondeduque;http://facebook.com/thememountain;{'Monday': 'Closed', 'Tuesday': '13:00 - 16:00, 20:00 - 23:00', 'Wednesday': '13:00 - 16:00, 20:00 - 23:00', 'Thursday': '13:00 - 16:00, 20:00 - 23:00', 'Friday': '13:00 - 16:00, 20:00 - 23:00', 'Saturday': '13:00 - 16:00, 20:00 - 23:00', 'Sunday': 'Closed'};https://www.happycow.net/reviews/decimo-b-madrid-401255;0.0;Centro
Cora;C. del Barquillo, 37,Madrid,Spain,28004;40.423576;-3.695617;4.0;4.0;[];2;No price range;No phone number;No website;http://www.instagram.com/cora.gelato;No facebook;{'Monday': '09:00 - 21:00', 'Tuesday': '09:00 - 21:00', 'Wednesday': '09:00 - 21:00', 'Thursday': '09:00 - 21:00', 'Friday': '09:00 - 22:00', 'Saturday': '09:30 - 22:30', 'Sunday': '09:30 - 22:00'};https://www.happycow.net/reviews/cora-madrid-363845;0.0;Centro
Sala Equis;Calle del Duque de Alba, 4,Madrid,Spain,28012;40.411992;-3.705731;5.0;3.5;['American', 'European', 'Spanish'];14;Moderado;+34-914296686;http://www.salaequis.es/;No instagram;http://facebook.com/salaequismadrid;{'Monday': '12:00 - 01:00', 'Tuesday': '12:00 - 01:00', 'Wednesday': '12:00 - 01:00', 'Thursday': '12:00 - 01:00', 'Friday': '12:00 - 02:30', 'Saturday': '12:00 - 02:30', 'Sunday': '12:00 - 01:00'};https://www.happycow.net/reviews/sala-equis-madrid-162036;0.0;Centro
Il Regno di Napoli Restaurant;Calle de San Andres, 21 (at Manuela Malasana),Madrid,Spain,28004;40.427828;-3.703589;5.0;3.5;['Italian'];10;Moderado;+34-914456300;http://www.ilregnodinapoli.com/;No instagram;No facebook;{'Monday': '13:30 - 16:00, 20:30 - 00:00', 'Tuesday': '13:30 - 16:00, 20:30 - 00:00', 'Wednesday': '13:30 - 16:00, 20:30 - 00:00', 'Thursday': '13:30 - 16:00, 20:30 - 00:00', 'Friday': '13:30 - 16:00, 20:30 - 00:00', 'Saturday': '13:30 - 16:00, 20:30 - 00:00', 'Sunday': '13:30 - 16:00'};https://www.happycow.net/reviews/il-regno-di-napoli-restaurant-madrid-76791;0.0;Centro
Miss Sushi - Hortaleza;Calle de Hortaleza, 108,Madrid,Spain,28004;40.425506;-3.697404;2.0;4.0;['Japanese', 'Asian', 'Fusion'];1;Moderado;+34-912307151;https://misssushi.es/restaurantes/miss-sushi-hortaleza/;http://www.instagram.com/misssushioficial;http://facebook.com/MissSushiFreshAndChic;{'Monday': '12:00 - 16:30, 19:30 - 00:00', 'Tuesday': '12:00 - 16:30, 19:30 - 00:00', 'Wednesday': '12:00 - 16:30, 19:30 - 00:00', 'Thursday': '12:00 - 16:30, 19:30 - 00:00', 'Friday': '12:00 - 16:30, 19:30 - 00:30', 'Saturday': '12:00 - 16:30, 19:30 - 00:30', 'Sunday': '12:00 - 16:30, 19:30 - 00:00'};https://www.happycow.net/reviews/miss-sushi-madrid-367404;0.0;Centro
Moega;26 Calle León,Madrid,Spain,28014;40.413196;-3.699225;3.0;3.5;['European'];11;No price range;+34-633133025;No website;http://www.instagram.com/moegapanaderia;http://facebook.com/MOEGAPANADERIA;{'Monday': '10:00 - 15:00, 17:00 - 21:00', 'Tuesday': '10:00 - 15:00, 17:00 - 21:00', 'Wednesday': '10:00 - 15:00, 17:00 - 21:00', 'Thursday': '10:00 - 15:00, 17:00 - 21:00', 'Friday': '10:00 - 15:00, 17:00 - 21:00', 'Saturday': '10:00 - 15:00, 17:00 - 21:00', 'Sunday': 'Closed'};https://www.happycow.net/reviews/moega-madrid-330100;0.0;Centro
Aroma and Bread;Calle de Apodaca, 10,Madrid,Spain,28004;40.427252;-3.700607;1.0;5.0;['European'];0;No price range;+34-912306886;https://www.aromaandbread.com/;http://www.instagram.com/aromaandbread;http://facebook.com/aromaandbread;{'Monday': '08:00 - 20:00', 'Tuesday': '08:00 - 20:00', 'Wednesday': '08:00 - 20:00', 'Thursday': '08:00 - 20:00', 'Friday': '08:00 - 20:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:00 - 20:00'};https://www.happycow.net/reviews/aroma-and-bread-madrid-405384;0.0;Centro
MÜR Café;Pl. de Cristino Martos, 2,Madrid,Spain,28015;40.42569;-3.71217;0.0;0.0;['Mediterranean', 'British', 'Fusion', 'Middle Eastern', 'Spanish'];0;Moderado;+34-911399809;https://www.murcafe.com/;http://www.instagram.com/murcafe;http://facebook.com/MurCafe;{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '10:00 - 22:00', 'Thursday': '10:00 - 22:00', 'Friday': '10:00 - 22:00', 'Saturday': '10:00 - 22:00', 'Sunday': '10:00 - 21:00'};https://www.happycow.net/reviews/muer-cafe-madrid-422088;0.0;Centro
Chia Chill Café;C. del Conde Duque, 14,Madrid,Spain,28015;40.426454;-3.710996;19.0;4.5;['European', 'Spanish'];85;Barato;+34-911524293;http://www.chiachillpages.com/;http://www.instagram.com/thechiachillproject;http://facebook.com/chiachillcafe;{'Monday': '10:00 - 18:00', 'Tuesday': '10:00 - 18:00', 'Wednesday': 'Closed', 'Thursday': 'Closed', 'Friday': '10:00 - 18:00', 'Saturday': '10:00 - 18:00', 'Sunday': '10:00 - 18:00'};https://www.happycow.net/reviews/chia-chill-cafe-madrid-284990;0.0;Centro
Roll Madrid;Calle de Amaniel 23,Madrid,Spain,28015;40.427116;-3.709608;4.0;4.0;['American'];4;Moderado;+34-918057930;https://www.rollmadrid.com/;http://www.instagram.com/rollmadrid;http://facebook.com/RollMadridRestaurant;{'Monday': '10:00 - 00:00', 'Tuesday': '10:00 - 00:00', 'Wednesday': '10:00 - 00:00', 'Thursday': '10:00 - 00:00', 'Friday': '10:00 - 01:00', 'Saturday': '10:00 - 01:00', 'Sunday': '10:00 - 00:00'};https://www.happycow.net/reviews/roll-madrid-301317;0.0;Centro
Gioelia Cremeria - Madrid Atocha;42 C. de Atocha,Madrid,Spain,28012;40.412764;-3.699997;1.0;4.0;['Italian'];6;No price range;+34-911256050;https://gioelia.com/en/ice-cream-parlor;http://www.instagram.com/gioeliacremeria_es;http://facebook.com/GioeliaCremeria.Madrid.Atocha;{'Monday': '12:00 - 23:00', 'Tuesday': '12:00 - 23:00', 'Wednesday': '12:00 - 23:00', 'Thursday': '12:00 - 23:00', 'Friday': '12:00 - 00:30', 'Saturday': '12:00 - 00:30', 'Sunday': '12:00 - 23:00'};https://www.happycow.net/reviews/gioelia-cremeria-madrid-atocha-363329;0.0;Centro
Be Beirut;Calle de los Estudios, 3,Madrid,Spain,28012;40.412066;-3.707283;2.0;2.5;['Mediterranean', 'Middle Eastern'];4;Barato;+34-674722141;No website;No instagram;http://facebook.com/Be-Beirut-2308500776143132;{'Monday': '10:00 - 22:00', 'Tuesday': '10:00 - 22:00', 'Wednesday': '10:00 - 22:00', 'Thursday': '10:00 - 22:00', 'Friday': '10:00 - 22:00', 'Saturday': '10:00 - 22:00', 'Sunday': '10:00 - 22:00'};https://www.happycow.net/reviews/be-beirut-madrid-213371;0.0;Centro
Rockade;Calle del Almendro, 9,Madrid,Spain,28005;40.412711;-3.709627;1.0;4.0;['International', 'Spanish'];4;Barato;+34-618319402;https://rockade.es/;http://www.instagram.com/rockade.bar;http://facebook.com/rockade.bilbao;{'Monday': '18:00 - 01:00', 'Tuesday': '18:00 - 01:00', 'Wednesday': '18:00 - 01:00', 'Thursday': '18:00 - 02:00', 'Friday': '16:00 - 02:30', 'Saturday': '13:00 - 02:30', 'Sunday': '13:00 - 01:00'};https://www.happycow.net/reviews/rockade-madrid-314688;0.0;Centro
SALT IN CAKE;C. de Toledo, 47,Madrid,Spain,28005;40.412131;-3.707741;10.0;4.0;[];13;No price range;+34-910427956;https://saltincake.com/;http://www.instagram.com/saltincake.madrid;http://facebook.com/saltincake.madrid;{'Monday': '11:00 - 22:00', 'Tuesday': '11:00 - 22:00', 'Wednesday': '11:00 - 22:00', 'Thursday': '11:00 - 22:00', 'Friday': '11:00 - 22:00', 'Saturday': '11:00 - 22:00', 'Sunday': '11:00 - 22:00'};https://www.happycow.net/reviews/salt-in-cake-madrid-305081;0.0;Centro
The Vegan Roll;C de Segovia, 15,Madrid,Spain,28005;40.413815;-3.711832;13.0;4.5;['Japanese'];33;Moderado;+34-685607037;http://theveganroll.com/;http://www.instagram.com/theveganroll;No facebook;{'Monday': 'Closed', 'Tuesday': 'Closed', 'Wednesday': '13:00 - 16:00, 19:30 - 22:30', 'Thursday': '13:00 - 16:00, 19:30 - 22:30', 'Friday': '13:00 - 16:00, 19:30 - 22:30', 'Saturday': '13:00 - 16:00, 19:30 - 22:30', 'Sunday': '13:00 - 16:00, 19:30 - 22:30'};https://www.happycow.net/reviews/the-vegan-roll-madrid-403991;0.0;Centro
California Burrito La Latina;C. del Nuncio, 19 (at Understreet Market),Madrid,Spain,28005;40.412984;-3.710356;1.0;2.0;['Mexican', 'Latin'];2;Moderado;+34-915596423;https://www.californiaburrito.es/;http://www.instagram.com/californiaburrito__/;No facebook;{'Monday': '12:00 - 17:30, 20:00 - 23:30', 'Tuesday': '12:00 - 17:00, 20:00 - 23:30', 'Wednesday': '12:00 - 17:30, 20:00 - 23:30', 'Thursday': '12:00 - 23:30', 'Friday': '11:00 - 17:00, 20:00 - 23:30', 'Saturday': '11:00 - 23:30', 'Sunday': '11:00 - 23:30'};https://www.happycow.net/reviews/california-burrito-la-latina-madrid-388347;0.0;Centro
Gosto Café;C. de la Palma, 47, Centro,Madrid,Spain,28014;40.412947;-3.699396;1.0;5.0;['Spanish'];0;No price range;No phone number;No website;http://www.instagram.com/gosto.cafe;No facebook;{'Monday': '09:00 - 19:00', 'Tuesday': '09:00 - 19:00', 'Wednesday': '09:00 - 19:00', 'Thursday': '09:00 - 19:00', 'Friday': '09:30 - 19:00', 'Saturday': '09:00 - 20:00', 'Sunday': '09:30 - 20:00'};https://www.happycow.net/reviews/gosto-cafe-madrid-408583;0.0;Centro
